Forces distribution normale,,,,
204.4101309,,,,
201.000393,,,,
202.446845,,,,
205.602233,,,,
204.668895,,,,
197.5568053,,,,
202.375221,,,,
199.621607,,,,
199.7419529,,,,
201.0264963,,,,
200.3601089,,,,
203.6356838,,,,
201.9025943,,,,
200.3041875,,,,
201.1096581,,,,
200.8341858,,,,
203.7351977,,,,
199.4871043,,,,
200.7826693,,,,
197.8647607,,,,
193.6175255,,,,
201.6340465,,,,
202.1610905,,,,
198.1445874,,,,
205.6743866,,,,
196.3640858,,,,
200.1143963,,,,
199.5320404,,,,
203.831948,,,,
203.6733969,,,,
200.3873686,,,,
200.9454063,,,,
197.7805356,,,,
195.0480088,,,,
199.1302196,,,,
200.3908724,,,,
203.0757267,,,,
203.0059496,,,,
199.031683,,,,
199.2442431,,,,
197.3786176,,,,
196.4499552,,,,
195.7343245,,,,
204.8769385,,,,
198.7258695,,,,
198.9048142,,,,
196.8680116,,,,
201.9437259,,,,
195.9652554,,,,
199.4681493,,,,
197.7613336,,,,
200.9672562,,,,
198.7229872,,,,
197.0484195,,,,
199.9295444,,,,
201.0708297,,,,
200.1662931,,,,
200.7561797,,,,
198.4141948,,,,
199.0931471,,,,
198.3188489,,,,
199.1011171,,,,
197.9671343,,,,
195.6842935,,,,
200.4435654,,,,
198.9955477,,,,
195.9245041,,,,
201.1569556,,,,
197.7317541,,,,
200.1298635,,,,
201.8227264,,,,
200.3224573,,,,
202.8485017,,,,
196.9129354,,,,
201.0058541,,,,
198.2879748,,,,
197.8230071,,,,
198.5528758,,,,
199.2211187,,,,
200.1404134,,,,
197.0871254,,,,
202.2520662,,,,
201.1641561,,,,
196.1593908,,,,
203.7206305,,,,
204.7397229,,,,
202.9469489,,,,
199.5501879,,,,
197.3231184,,,,
202.6361293,,,,
198.9920576,,,,
203.0561127,,,,
200.5206874,,,,
202.4415976,,,,
200.890916,,,,
201.7664329,,,,
200.0262501,,,,
204.4646762,,,,
200.3172802,,,,
201.0049734,,,,
moyenne voulue: ,200,,,
moyenne échantillon: ,200.14952,,,
deviation standard voulue: ,2.5,,,
deviation standard échantillon: ,2.519705612,,,
Intervalle de confiance à ,95,% : ,199.6496176,200.6494225
